id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
73,89,30.0,50.0,0,0.0,1997,4.6,0,67291682.24299066,137574105.9190031,204865788.16199377,6.047781017168772
74,96,40.0,50.0,0,0.0,2002,5.9,4,80046803.7798777,-40023401.88993885,40023401.88993885,6.518035932321646
75,103,47.62,50.0,0,0.0,1999,6.7,4,43218547.41896759,155586770.70828333,198805318.1272509,6.518035932321646
76,143,88.89,66.67,0,0.0,2013,6.3,4,51513154.78822272,126722360.77902791,178235515.56725064,6.712224283652855
77,102,33.33,50.0,0,0.0,2001,5.6,7,51497831.73348391,47432213.43873518,98930045.1722191,6.290638160025915
78,118,55.55,66.67,0,0.0,2014,5.2,4,65898110.13111652,38525048.999729656,104423159.13084617,6.404308390022675
79,156,72.22,35.71,0,0.0,1999,6.8,7,79234003.60144058,64827821.12845139,144061824.729892,6.8228666905358635
80,108,16.67,28.57,0,0.0,2003,6.4,4,23478945.652173914,-16957016.304347828,6521929.347826088,6.893633350776208
81,114,44.0,40.0,0,0.0,1999,6.1,4,33134219.687875155,1440618.2472989198,34574837.93517407,6.24344671201814
82,103,33.33,50.0,0,0.0,1990,6.3,4,56925914.3075746,40399035.960214235,97324950.26778884,6.4482741244646
83,95,44.0,33.33,0,0.0,2005,4.6,1,39325263.6968766,2457828.9810547875,41783092.67793138,5.5667697381983094
84,94,0.0,40.0,0,0.0,2006,6.0,2,102383938.4920635,25000729.166666668,127384667.65873016,6.53344671201814
85,97,17.77,0.0,0,0.0,2011,7.1,2,106698704.98223963,51215378.39147502,157914083.37371466,6.5724111866969
86,100,0.0,0.0,0,0.0,2014,6.0,7,963126.2249932414,-912435.3710462287,50690.85394701271,6.389077853363567
87,132,94.44,50.0,0,0.0,1995,6.3,0,78742454.06824146,398436817.5853018,477179271.6535433,6.719674536481259
88,116,0.0,0.0,0,0.0,2008,5.1,1,86949768.46583652,60195993.553271435,147145762.01910797,6.239077853363567
89,94,44.0,50.0,0,0.0,2009,6.3,2,72716850.70640495,-27968019.50246344,44748831.20394151,6.481607457797933
90,128,0.0,25.0,0,0.0,1999,5.9,7,86437094.83793518,-54311307.92316928,32125786.91476591,6.459385235575711
91,95,83.33,50.0,0,0.0,2001,6.8,0,162624731.78994918,89443602.48447205,252068334.27442124,6.5763524457402
92,94,44.0,57.14,0,0.0,2002,6.2,0,84049143.9688716,13341133.963312952,97390277.93218455,6.5278722600151164
93,95,77.0,57.14,0,0.0,1999,6.6,0,47540402.16086435,401932490.9963986,449472893.157263,6.5278722600151164
94,103,49.28,0.0,0,0.0,2000,5.5,7,55750754.93612079,4181306.620209059,59932061.556329854,6.305744520030234
95,109,83.33,50.0,0,0.0,2004,5.6,0,76233033.35097936,148654415.03440973,224887448.3853891,6.148964474678761
96,97,46.66,75.0,0,0.0,1998,5.8,1,117794846.62576687,-16196791.411042944,101598055.21472393,6.671882086167799
97,97,55.55,50.0,0,0.0,1999,2.5,4,25931128.451380555,10084327.731092438,36015456.182473,5.670496346686822
98,99,66.67,100.0,0,0.0,2008,6.0,4,33442218.640706353,33442218.640706353,66884437.281412706,6.389077853363567
99,101,55.55,0.0,0,0.0,2008,5.6,0,78031843.4949815,-36786440.50477699,41245402.990204506,6.247781017168771
100,99,33.33,50.0,0,0.0,1994,5.9,1,80974021.59244266,-53766750.33738192,27207271.255060732,6.2192095885973435
101,147,16.67,69.23,0,0.0,2003,6.6,0,169570163.04347828,186527179.3478261,356097342.3913044,6.590803728898966
102,116,50.0,66.67,0,0.0,2002,5.6,0,93387937.74319066,-5336453.585325181,88051484.15786548,6.378498065893023
103,122,44.0,0.0,0,0.0,2009,6.7,5,27968019.50246344,-16780811.701478064,11187207.800985377,6.619209588597343
104,93,33.33,0.0,0,0.0,2012,5.2,0,31360619.179943725,-20070796.275163986,11289822.904779742,6.255744520030234
105,91,55.55,0.0,0,0.0,2002,3.6,0,93387937.74319066,-66705669.81656476,26682267.926625904,5.989077853363567
106,82,0.0,28.57,0,0.0,1971,7.1,4,11852197.530864198,0.0,11852197.530864198,6.893633350776208
107,93,44.0,0.0,0,0.0,2006,5.7,0,38096349.20634921,-17857663.69047619,20238685.51587302,6.339077853363567
108,123,33.33,61.5,0,0.0,2001,6.6,4,108416487.85996613,-17617679.277244497,90798808.58272164,6.546359284454522
109,99,33.33,0.0,0,0.0,2008,5.4,0,44589624.85427514,-5573703.106784392,39015921.74749075,6.289077853363566
110,90,50.0,75.0,0,0.0,2006,5.6,2,60716056.54761905,78573720.23809524,139289776.7857143,6.3482741244645995
111,116,22.22,0.0,0,0.0,2006,4.2,5,83335763.8888889,-36905838.2936508,46429925.5952381,6.214940791131267
112,98,50.0,40.0,0,0.0,2003,6.5,0,65219293.478260875,-11348157.065217393,53871136.413043484,6.5756311413454265
113,125,66.67,66.67,0,0.0,1997,3.7,0,186921339.56386292,168976890.96573207,355898230.529595,6.378498065893023
114,183,88.89,57.14,0,0.0,2016,6.9,0,250000000.0,623000000.0,873000000.0,6.86120559334845
115,116,66.67,83.33,0,0.0,2011,5.8,11,74689093.48756774,151512161.0747803,226201254.56234804,6.048587920016491
116,119,33.33,0.0,0,0.0,2000,2.4,0,61325830.429732874,-20906533.101045296,40419297.32868757,5.789077853363566
117,131,20.0,33.33,0,0.0,2012,5.9,0,218478980.2869413,98263273.43049034,316742253.71743166,6.575860647289218
118,118,41.67,62.5,0,0.0,2005,5.7,4,65132467.997951865,51614408.60215054,116746876.6001024,6.756497470783184
119,124,66.67,25.0,0,0.0,2013,6.2,7,61815785.745867275,0.0,61815785.745867275,6.637163013353489
120,106,88.89,40.0,0,0.0,2005,6.4,4,17204802.86738351,44240921.65898617,61445724.52636968,6.24344671201814
121,93,60.0,50.0,0,0.0,2000,6.0,4,66900905.92334495,59513930.89430895,126414836.8176539,6.518035932321646
122,99,62.96,87.5,0,0.0,2008,6.1,4,89179249.70855027,147145762.01910797,236325011.72765824,6.156497470783185
123,106,61.0,50.0,0,0.0,2001,6.4,0,54208243.929983065,69115511.0107284,123323754.94071147,6.170496346686822
124,91,66.67,0.0,0,0.0,2006,7.4,7,3928686.011904762,2023868.5515873018,5952554.563492064,6.733495302883057
125,100,100.0,41.66,0,0.0,1987,6.4,0,59156654.92957747,257753996.47887325,316910651.4084507,6.696145124716553
126,104,50.0,100.0,0,0.0,1994,5.5,0,89071423.75168693,103646747.6383266,192718171.39001352,6.6482741244646
127,127,66.67,77.0,0,0.0,2003,6.5,1,45653505.43478261,-11739472.826086957,33914032.608695656,6.6238905085843856
128,108,100.0,100.0,0,0.0,1999,7.6,6,720309.1236494599,2160927.3709483794,2881236.4945978397,6.655744520030233
129,93,79.62,66.67,0,0.0,1999,6.4,4,49269144.05762306,287835525.8103242,337104669.8679472,5.995319080012957
130,107,66.67,25.0,0,0.0,2012,6.5,3,41814158.90659164,-16725663.562636655,25088495.34395498,6.3482741244645995
131,99,100.0,75.0,0,0.0,2006,4.6,4,47620436.507936515,120241602.18253969,167862038.6904762,5.759385235575711
132,99,86.66,100.0,0,0.0,2000,5.1,0,41813066.20209059,199308948.89663184,241122015.09872243,5.621315192743764
133,113,100.0,75.0,0,0.0,2011,4.4,0,34143585.59431668,53349352.49111982,87492938.0854365,5.759385235575711
134,74,66.67,71.42,0,0.0,2002,6.5,4,53364535.85325181,13341133.963312952,66705669.81656476,6.46120559334845
135,98,100.0,100.0,0,0.0,2015,4.3,7,506307.5644363063,506307.5644363063,1012615.1288726126,6.105744520030233
136,95,30.0,50.0,0,0.0,2001,4.8,1,67760304.91247883,-14907267.080745343,52853037.83173349,6.333495302883057
